tableName,tableId,fieldName,fieldId,fieldType
Table 1,tblQufXEl5lIUNg6s,Name,fldJYTOt1qzYT2Je3,singleLineText
Table 1,tblQufXEl5lIUNg6s,Notes,fldmVgdXtKz3q4hxq,multilineText
Table 1,tblQufXEl5lIUNg6s,Assignee,fld2nk61lB7wlsVHa,singleCollaborator
Table 1,tblQufXEl5lIUNg6s,Status,fldpJScllMBTq70Sl,singleSelect
Table 1,tblQufXEl5lIUNg6s,Attachments,fldIqGRghtxJOmHo3,multipleAttachments
Table 1,tblQufXEl5lIUNg6s,Attachment Summary,fld6LLXvGC5ROIkDf,aiText
Vendors,tblZ6Kc9EQP7Grx3B,vendorName,fldmMTVSuD5bfTlEJ,singleLineText
Vendors,tblZ6Kc9EQP7Grx3B,vendorType,fldqxpYvufGlgsM8P,singleLineText
Vendors,tblZ6Kc9EQP7Grx3B,country,fldDPq1RxgSu9VfhV,singleLineText
Vendors,tblZ6Kc9EQP7Grx3B,contact,fldcNAXGjq5X01JOG,singleLineText
Vendors,tblZ6Kc9EQP7Grx3B,notes,fldhhPdCGOCAcscB3,multilineText
Sites,tblSqSRWCe1IxCIih,siteCode,fldWIIqsKVc0N01O1,singleLineText
Sites,tblSqSRWCe1IxCIih,siteName,fldk8MBEDkJ5unlIt,singleLineText
Sites,tblSqSRWCe1IxCIih,country,fldgMOXHfXFRBlS83,singleLineText
Sites,tblSqSRWCe1IxCIih,timeZone,fldlkpK9UiyQihNDj,singleLineText
Sites,tblSqSRWCe1IxCIih,notes,fldEbAbuWMFe5jzck,multilineText
Owners,tblAjPArtKVBsShfE,ownerName,fldBfTdicJjbZSA2f,singleLineText
Owners,tblAjPArtKVBsShfE,team,fldSXiTbv5uNCK1NS,singleLineText
Owners,tblAjPArtKVBsShfE,vendor,fldvL1n0jzPFtOgeW,singleLineText
Owners,tblAjPArtKVBsShfE,email,flda6bh7G3sAdHi7n,email
Owners,tblAjPArtKVBsShfE,chatHandle,fldo8HpCQiz4wBpnV,singleLineText
Owners,tblAjPArtKVBsShfE,roleNotes,fldQYxOWTGzsoLSwR,multilineText
BottleneckCodes,tblMad2YVdiN8WAYx,code,fldsvpytOY2zuZv8I,singleLineText
BottleneckCodes,tblMad2YVdiN8WAYx,category,fld0KNFCAvybE1gqw,singleLineText
BottleneckCodes,tblMad2YVdiN8WAYx,description,fldwRZHgclhAxeQfW,multilineText
BottleneckCodes,tblMad2YVdiN8WAYx,riskDefault,fldZ1Mp3L0Sze6Egg,singleSelect
BottleneckCodes,tblMad2YVdiN8WAYx,nextActionTemplate,fldi5I1ZRSlV21lG8,multilineText
BottleneckCodes,tblMad2YVdiN8WAYx,slaHours,fldCmpVaalPUteU6Q,number
BottleneckCodes,tblMad2YVdiN8WAYx,stopTrigger,fldCHVRvbRHXTsd1i,checkbox
BottleneckCodes,tblMad2YVdiN8WAYx,aiCategorySummary,fld1VlLHehnWWOoDE,aiText
Shipments,tbl4NnKYx1ECKmaaC,shptNo,fldEQ5GwNfN6dRWnI,singleLineText
Shipments,tbl4NnKYx1ECKmaaC,vendor,fldwrC8TWe9rdFNfe,singleLineText
Shipments,tbl4NnKYx1ECKmaaC,site,fldFEdNYSbs6Zm2c4,singleLineText
Shipments,tbl4NnKYx1ECKmaaC,eta,flddGQaFY1Tn4B0ML,dateTime
Shipments,tbl4NnKYx1ECKmaaC,mode,fldt4XGKLA0krgvIt,singleSelect
Shipments,tbl4NnKYx1ECKmaaC,forwarder,fld8nWn3EYk7mYDAj,singleLineText
Shipments,tbl4NnKYx1ECKmaaC,currentBottleneckCode,fldIACEWXLqsorJF0,singleLineText
Shipments,tbl4NnKYx1ECKmaaC,bottleneckSince,fldTLT6AMTi8udXrB,dateTime
Shipments,tbl4NnKYx1ECKmaaC,riskLevel,fldkbfmbgNi4iFJDk,singleSelect
Shipments,tbl4NnKYx1ECKmaaC,nextAction,fldkR6PTLDfvwnJN4,singleLineText
Shipments,tbl4NnKYx1ECKmaaC,actionOwner,fldKuqW5THvGbsSzu,singleLineText
Shipments,tbl4NnKYx1ECKmaaC,dueAt,fldF1TqRtlxwevnVI,dateTime
Shipments,tbl4NnKYx1ECKmaaC,stopFlag,fldp8hJ6Z2qzld1nu,checkbox
Shipments,tbl4NnKYx1ECKmaaC,stopReason,fldN2KyaGXOtMiY3k,singleLineText
Shipments,tbl4NnKYx1ECKmaaC,ocrPrecision,fldhFnzUfwu6Xaj31,number
Shipments,tbl4NnKYx1ECKmaaC,mismatchRate,fldyoo1DZYXXJMFHY,number
Shipments,tbl4NnKYx1ECKmaaC,rateOverrun,fldEdbfWkARPaMY0C,number
Shipments,tbl4NnKYx1ECKmaaC,aiBottleneckSummary,fldioqtJxAfWrq3jX,aiText
Documents,tblbA8htgQSd2lOPO,docKey,fldpmMcikUv0u9evG,singleLineText
Documents,tblbA8htgQSd2lOPO,shptNo,fldmRTznGzLTEu85V,singleLineText
Documents,tblbA8htgQSd2lOPO,docType,fldgN8FmlkC47Yqyf,singleSelect
Documents,tblbA8htgQSd2lOPO,status,fld8HQ6WJA5DstrNK,singleSelect
