shipment_no	item_description	site	delivery_date	remarks
SIM-0038	RC DIVIDER			DGD & DG labelling
SCT-0154	Communication System - Radio tower	MIR/SHU	2025-12-28	Follow up Minhaj for arrival, DO and BOE
SCT-0146	Steel Conduit 13th	DAS	2025-12-29	Follow up Minhaj for arrival, DO and BOE
SCT-0151	Hook up Material	ALL	2025-12-29	PKG list vs label mismatch resolved; deliver by Package No. (MIR/SHU direct, AGI/DAS to MOSB Yard)
HE-0520 // PRL-CS-052-O1	EQ001 Spares	DAS/AGI	2025-12-31	In Coming
HE-0521 // PRL-CS-052-O2	EQ001 Spares	SHU	2025-12-31	In Coming
HE-0522 // PRL-CS-052-O3	EQ001 Spares	MIRFA	2025-12-31	In Coming
HE-0523 // PRL-MIR-058-O	TRANSFORMER AREA (OUTDOORS)301	MIRFA	2026-01-02	In Coming
HE-0524 // PRL-SHU-083-O	AREA INSULATORS (OUTDOORS) 301	SHU	2026-01-02	In Coming
HE-0525 // PRL-CS-053-O	TRANSFORMAER NEUTRAL INSULATOR 304	DAS/AGI	2026-01-02	In Coming
